서울교육대학교부설초등학교
서울대학교사범대학부설초등학교
서울개일초등학교
서울구룡초등학교
서울논현초등학교
서울대곡초등학교
서울대도초등학교
서울대모초등학교
서울대왕초등학교
서울대진초등학교
서울대청초등학교
서울대치초등학교
서울대현초등학교
서울도곡초등학교
서울도성초등학교
서울반원초등학교
서울반포초등학교
서울방배초등학교
서울방일초등학교
서울방현초등학교
서울봉은초등학교
서울삼릉초등학교
서울서래초등학교
서울서원초등학교
서울서이초등학교
서울서일초등학교
서울서초초등학교
서울수서초등학교
서울신구초등학교
서울신동초등학교
서울신중초등학교
서울압구정초등학교
서울양재초등학교
서울양전초등학교
서울언남초등학교
서울언북초등학교
서울언주초등학교
서울역삼초등학교
서울영희초등학교
서울왕북초등학교
서울우암초등학교
서울원명초등학교
서울원촌초등학교
서울이수초등학교
서울일원초등학교
서울잠원초등학교
서울청담초등학교
서울포이초등학교
서울학동초등학교
서울가동초등학교
서울가락초등학교
서울가원초등학교
서울가주초등학교
서울강덕초등학교
서울강동초등학교
서울강일초등학교
서울거여초등학교
서울거원초등학교
서울고덕초등학교
서울고명초등학교
서울고일초등학교
서울길동초등학교
서울남천초등학교
서울대명초등학교
서울마천초등학교
서울명덕초등학교
서울명원초등학교
서울명일초등학교
서울묘곡초등학교
서울문덕초등학교
서울문정초등학교
서울방산초등학교
서울방이초등학교
서울삼전초등학교
서울상일초등학교
서울석촌초등학교
서울선린초등학교
서울선사초등학교
서울성내초등학교
서울성일초등학교
서울세륜초등학교
서울송전초등학교
서울송파초등학교
서울신가초등학교
서울신명초등학교
서울신암초등학교
서울신천초등학교
서울아주초등학교
서울영풍초등학교
서울오금초등학교
서울오륜초등학교
서울잠동초등학교
서울잠신초등학교
서울잠실초등학교
서울잠일초등학교
서울잠전초등학교
서울중대초등학교
서울천동초등학교
서울천일초등학교
서울천호초등학교
서울토성초등학교
서울평화초등학교
서울풍납초등학교
서울풍성초등학교
서울한산초등학교
서울가곡초등학교
서울가양초등학교
서울갈산초등학교
서울강서초등학교
서울강신초등학교
서울강월초등학교
서울개화초등학교
서울경인초등학교
서울계남초등학교
서울공진초등학교
서울공항초등학교
서울남명초등학교
서울내발산초등학교
서울등명초등학교
서울등서초등학교
서울등양초등학교
서울등원초등학교
서울등촌초등학교
서울등현초등학교
서울목동초등학교
서울목원초등학교
서울발산초등학교
서울방화초등학교
서울백석초등학교
서울삼정초등학교
서울서정초등학교
서울송정초등학교
서울송화초등학교
서울신강초등학교
서울신곡초등학교
서울신남초등학교
서울신목초등학교
서울신서초등학교
서울신원초등학교
서울신월초등학교
서울신정초등학교
서울양강초등학교
서울양동초등학교
서울양명초등학교
서울양목초등학교
서울양원초등학교
서울양천초등학교
서울양화초등학교
서울염동초등학교
서울염창초등학교
서울영도초등학교
서울우장초등학교
서울월정초등학교
서울월촌초등학교
서울은정초등학교
서울정곡초등학교
서울정목초등학교
서울지향초등학교
서울치현초등학교
서울탑산초등학교
서울화곡초등학교
유석초등학교
동광초등학교
서울가산초등학교
서울개명초등학교
서울개봉초등학교
서울개웅초등학교
서울고산초등학교
서울고척초등학교
서울구로남초등학교
서울구로초등학교
서울구일초등학교
서울금산초등학교
서울금천초등학교
서울당산초등학교
서울당서초등학교
서울당중초등학교
서울대길초등학교
서울대동초등학교
서울대방초등학교
서울대영초등학교
서울덕의초등학교
서울도림초등학교
서울도신초등학교
서울독산초등학교
서울동구로초등학교
서울두산초등학교
서울매봉초등학교
서울문교초등학교
서울문래초등학교
서울문백초등학교
서울문성초등학교
서울미래초등학교
서울백산초등학교
서울세곡초등학교
서울시흥초등학교
서울신구로초등학교
서울신대림초등학교
서울신도림초등학교
서울신미림초등학교
서울신영초등학교
서울신흥초등학교
서울안천초등학교
서울여의도초등학교
서울영남초등학교
서울영동초등학교
서울영등포초등학교
서울영림초등학교
서울영서초등학교
서울영신초등학교
서울영원초등학교
서울영일초등학교
서울영중초등학교
서울오류남초등학교
서울오류초등학교
서울오정초등학교
서울온수초등학교
서울우신초등학교
서울윤중초등학교
서울정심초등학교
서울탑동초등학교
경희초등학교
금성초등학교
서울삼육초등학교
서울군자초등학교
서울답십리초등학교
서울동답초등학교
서울동원초등학교
서울망우초등학교
서울면남초등학교
서울면동초등학교
서울면목초등학교
서울면북초등학교
서울면일초등학교
서울면중초등학교
서울묵동초등학교
서울배봉초등학교
